Newtonsoft.Json: ['ServiceStack.Text', 'json2', 'Microsoft.AspNet.WebApi.Client', 'JWT', 'RestSharp']
jQuery: ['jQuery.Color', 'jQuery.Ajax.Unobtrusive', 'jQuery.Easing', 'Microsoft.jQuery.Unobtrusive.Ajax', 'jQuery.Validation.Unobtrusive']
EntityFramework: ['EntityFramework.Extended', 'EntityFrameworkProfiler', 'Microsoft.Web.Infrastructure', 'WebBackgrounder.EntityFramework', 'ExcelDataReader']
Microsoft.AspNet.Razor: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages.OAuth', 'System.Web.Providers']
Microsoft.AspNet.Mvc: ['System.Web.Providers', 'System.Web.Providers.Core', 'Microsoft.AspNet.Providers.Core', 'Microsoft.AspNet.Providers.LocalDb', 'Microsoft.AspNet.Providers']
Microsoft.AspNet.WebPages: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages.OAuth', 'System.Web.Providers']
Microsoft.AspNet.WebApi.Client: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.Core', 'System.Web.Providers', 'System.Web.Providers.Core']
Microsoft.AspNet.WebApi.Core: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.SelfHost', 'System.Web.Providers', 'Microsoft.AspNet.WebApi.Client']
System.Net.Http: ['Microsoft.Net.Http', 'AutoFixture.AutoFakeItEasy', 'Microsoft.Web.Infrastructure', 'System.Web.Http.Common', 'Hammock']
System.Threading.Tasks: ['OxyPlot.Silverlight', 'FluentValidation', 'SSH.NET', 'Microsoft.Tpl.Dataflow', 'MvvmLightLibs']
Microsoft.AspNet.WebApi.WebHost: ['Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'System.Web.Providers']
Microsoft.AspNet.WebApi: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'System.Web.Providers']
Microsoft.Web.Infrastructure: ['ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions', 'Microsoft.Net.Http', 'System.Net.Http', 'microsoft-web-helpers']
WebGrease: ['ClientDependency', 'normalize.css', 'Cassette.Aspnet', 'ZeroClipboard', 'bootstrap']
Microsoft.Data.OData: ['Microsoft.Data.Services.Client', 'Microsoft.Data.Services', 'Microsoft.Data.Edm', 'System.Spatial', 'ODataNullPropagationVisitor']
Microsoft.Data.Edm: ['Microsoft.Data.Services.Client', 'Microsoft.Data.Services', 'System.Spatial', 'Microsoft.Data.OData', 'Microsoft.Web.Infrastructure']
System.Spatial: ['Microsoft.Data.Edm', 'Microsoft.Data.Services.Client', 'Microsoft.Data.Services', 'Microsoft.Data.OData', 'ODataNullPropagationVisitor']
Microsoft.Net.Http: ['System.Net.Http', 'Microsoft.Web.Infrastructure', 'AutoFixture.AutoFakeItEasy', 'System.Web.Http.Common', 'Microsoft.AspNet.WebApi.WebHost']
Microsoft.AspNet.Web.Optimization: ['System.Web.Providers', 'System.Web.Providers.Core', 'AspNetRazor.Core', 'Microsoft.AspNet.Providers.Core', 'Microsoft.AspNet.Providers.LocalDb']
jQuery.Validation: ['jQuery.Easing', 'jquery.cookie', 'jQuery.Color', 'chosen.jquery', 'jQuery.MaskedInput']
WindowsAzure.Storage: ['Microsoft.WindowsAzure.ConfigurationManager', 'Microsoft.WindowsAzure.Caching', 'WindowsAzure.ServiceBus', 'EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'Microsoft.Web.Infrastructure']
Moq: ['AutoMoq', 'Machine.Fakes.Moq', 'Ninject.MockingKernel.Moq', 'JustMock', 'AutoFixture.AutoMoq']
Modernizr: ['d3', 'Twitter.Bootstrap', 'CsQuery', 'bootstrap', 'AmplifyJS']
Microsoft.jQuery.Unobtrusive.Validation: ['jQuery.Validation.Unobtrusive', 'Microsoft.jQuery.Unobtrusive.Ajax', 'jQuery.Easing', 'jQuery.Color', 'jquery.cookie']
NUnit: ['NUnit.Runners', 'NUnit.Mocks', 'NUnitLite', 'SpecFlow.NUnit', 'SpecFlow.NUnit.Runners']
Castle.Core: ['Ninject.Extensions.Interception.DynamicProxy', 'RhinoMocks', 'Ninject.Extensions.Interception', 'Castle.Core-log4net', 'Castle.Core-NLog']
AutoMapper: ['XAct.ObjectMapping', 'Bootstrapper', 'campaignmonitor-api', 'Windows7APICodePack-Core', 'Windows7APICodePack-Shell']
Microsoft.Data.Services.Client: ['Microsoft.Data.Services', 'Microsoft.Data.Edm', 'Microsoft.Data.OData', 'System.Spatial', 'ODataNullPropagationVisitor']
bootstrap: ['Twitter.Bootstrap', 'Prettify', 'Google.GData.Client', 'Google.GData.Extensions', 'Google.GData.Contacts']
jQuery.UI.Combined: ['jQuery.UI.Core', 'jQuery.UI.i18n', 'jQuery.MaskedInput', 'jquery.mobile', 'MahApps.Metro']
Microsoft.WindowsAzure.ConfigurationManager: ['Microsoft.WindowsAzure.Caching', 'Microsoft.Experience.CloudFx', 'Microsoft.Web.Infrastructure', 'ExcelDataReader', 'WindowsAzure.Storage']
Antlr: ['NuGet.CommandLine', 'IronRuby', 'Sprache', 'Jurassic', 'Pester']
log4net: ['Common.Logging.Log4Net1211', 'Common.Logging.Log4Net', 'Castle.Core-log4net', 'Topshelf.Log4Net', 'Rebus.Log4Net']
