Newtonsoft.Json: ['ServiceStack.Text', 'json2', 'Microsoft.AspNet.WebApi.Client', 'JWT', 'RestSharp']
jQuery: ['jQuery.Color', 'Microsoft.jQuery.Unobtrusive.Ajax', 'jQuery.Ajax.Unobtrusive', 'jQuery.Easing', 'jQuery.Validation.Unobtrusive']
EntityFramework: ['EntityFramework.Extended', 'EntityFrameworkProfiler', 'ExcelDataReader', 'Microsoft.Web.Infrastructure', 'WebBackgrounder.EntityFramework']
Microsoft.AspNet.Razor: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.WebPages.Administration', 'System.Web.Providers']
Microsoft.AspNet.Mvc: ['Microsoft.AspNet.Razor', 'System.Web.Providers', 'System.Web.Providers.Core', 'Microsoft.AspNet.Providers.Core', 'Microsoft.AspNet.Providers.LocalDb']
Microsoft.AspNet.WebPages: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.Mvc']
Microsoft.AspNet.WebApi.Client: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.Core', 'System.Web.Providers', 'System.Web.Providers.Core']
Microsoft.AspNet.WebApi.Core: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Client', 'Microsoft.AspNet.Razor']
System.Net.Http: ['AutoFixture.AutoFakeItEasy', 'Microsoft.Net.Http', 'System.Web.Http.Common', 'Microsoft.Web.Infrastructure', 'Microsoft.AspNet.WebApi.WebHost']
System.Threading.Tasks: ['OxyPlot.Silverlight', 'FluentValidation', 'SSH.NET', 'MvvmLightLibs', 'Microsoft.Tpl.Dataflow']
Microsoft.AspNet.WebApi.WebHost: ['Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'Microsoft.AspNet.Razor']
Microsoft.AspNet.WebApi: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'Microsoft.AspNet.Razor']
Microsoft.Web.Infrastructure: ['ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions', 'System.Net.Http', 'Microsoft.Net.Http', 'Microsoft.Composition']
WebGrease: ['ClientDependency', 'normalize.css', 'Cassette.Aspnet', 'bootstrap', 'ZeroClipboard']
Microsoft.Data.OData: ['Microsoft.Data.Services.Client', 'Microsoft.Data.Services', 'Microsoft.Data.Edm', 'System.Spatial', 'ODataNullPropagationVisitor']
Microsoft.Data.Edm: ['Microsoft.Data.Services.Client', 'Microsoft.Data.Services', 'System.Spatial', 'Microsoft.Data.OData', 'ExcelDataReader']
System.Spatial: ['Microsoft.Data.Edm', 'Microsoft.Data.Services.Client', 'Microsoft.Data.Services', 'Microsoft.Data.OData', 'ODataNullPropagationVisitor']
Microsoft.Net.Http: ['System.Net.Http', 'AutoFixture.AutoFakeItEasy', 'Microsoft.Web.Infrastructure', 'System.Web.Http.Common', 'Microsoft.AspNet.WebApi.WebHost']
Microsoft.AspNet.Web.Optimization: ['System.Web.Providers', 'Microsoft.AspNet.Razor', 'AspNetRazor.Core', 'System.Web.Providers.Core', 'Microsoft.AspNet.Providers.Core']
jQuery.Validation: ['jquery.cookie', 'jQuery.Color', 'chosen.jquery', 'jQuery.Easing', 'jQuery.MaskedInput']
WindowsAzure.Storage: ['Microsoft.WindowsAzure.ConfigurationManager', 'Microsoft.WindowsAzure.Caching', 'WindowsAzure.ServiceBus', 'EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'ExcelDataReader']
Modernizr: ['d3', 'Twitter.Bootstrap', 'bootstrap', 'CsQuery', 'Twitter.Bootstrap.Less']
Moq: ['AutoMoq', 'Machine.Fakes.Moq', 'Ninject.MockingKernel.Moq', 'JustMock', 'AutoFixture.AutoMoq']
Microsoft.jQuery.Unobtrusive.Validation: ['jQuery.Validation.Unobtrusive', 'Microsoft.jQuery.Unobtrusive.Ajax', 'jquery.cookie', 'jQuery.Color', 'jQuery.Easing']
NUnit: ['NUnit.Runners', 'NUnit.Mocks', 'NUnitLite', 'SpecFlow.NUnit', 'SpecFlow.NUnit.Runners']
Castle.Core: ['Ninject.Extensions.Interception.DynamicProxy', 'RhinoMocks', 'Ninject.Extensions.Interception', 'Castle.Core-log4net', 'Castle.Core-NLog']
AutoMapper: ['XAct.ObjectMapping', 'Bootstrapper', 'campaignmonitor-api', 'Windows7APICodePack-Core', 'Windows7APICodePack-Shell']
Microsoft.Data.Services.Client: ['Microsoft.Data.Services', 'Microsoft.Data.Edm', 'Microsoft.Data.OData', 'System.Spatial', 'ODataNullPropagationVisitor']
bootstrap: ['Twitter.Bootstrap', 'Prettify', 'Twitter.Bootstrap.Less', 'Google.GData.Client', 'Google.GData.Extensions']
jQuery.UI.Combined: ['jQuery.UI.Core', 'jQuery.UI.i18n', 'jQuery.MaskedInput', 'jquery.mobile', 'MahApps.Metro']
