authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
"XAct Software Solutions,Inc.",2012-04-11T09:32:47.217Z,"An XActLib Assembly: an implementation of IHostSettingsService, implemented around the AppSettings section in an app's config file.",XAct.Settings.Host.AppSettings,False,1899-12-31T16:00:00-08:00,False,,"XAct,XActLib",-1,False,0.0.304
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T17:43:07.647Z,The NHibernate for the NServicebus,NServiceBus.NHibernate-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2172
"XAct Software Solutions,Inc.",2012-04-11T02:37:26.26Z,An XActLib Assembly: a Library of code for working with Asp.NET Mvc v3 Framework,XAct.UI.Web.Mvc.v3,False,1899-12-31T16:00:00-08:00,False,,"XAct,XActLib",-1,False,0.0.302
Demis Bellot,2012-04-13T07:04:46.923Z,"Light, simple and fast convention-based code-first POCO ORM for PostgreSQL. 
		Support for Creating and Dropping Table Schemas from POCOs, Complex Property types transparently stored in schemaless text blobs in Postgres.",ServiceStack.OrmLite.PostgreSQL,False,2018-01-02T14:51:31.343+00:00,True,,"PostgreSQL,Postgres,OrmLite,POCO,Code-First,Orm,Schema-less,Blobs",58455,False,3.6.9
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-12T08:04:50.597Z,The Interfaces for NServiceBus Implementation,NServiceBus.Interfaces-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2173
Flyear.Cheng,2012-04-11T10:26:51.24Z,My package description.,Aocsoft.Infrastructure.NHProvider,False,1899-12-31T16:00:00-08:00,False,,,-1,False,1.1.0
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T05:42:20.47Z,The tools to configure the nservicebus,NServiceBus.Tools-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2170
Dennis Daume,2012-04-13T16:56:01.453Z,A collection of useful classes and helpers.,Rareform,False,2013-01-31T16:33:16.387-08:00,True,,rareform,5266,False,1.1.2
Jake Ginnivan,2012-04-12T08:53:28.8Z,"An MVVM+Controller implementation for WPF & WP7, giving all the goodness of MVVM while introducing a controller to make it easier to write better apps easier. Supporting type safe navigation, MVVM, wp7 lifecycle/tombstoning and much more!",Phoenix.Testability,False,2012-11-04T01:18:58.233-07:00,True,,"wpf,wp7,mvvm,mvc",1291,False,0.4.0.154
Taliesin Sisson,2012-04-13T07:05:31.957Z,A suite of Http Modules and Http Handlers to easily implemented best practices and increase performance of asp.net webforms and asp.net mvc websites.,Talifun.Web,False,2014-06-19T15:51:41.107-07:00,True,A suite of Http Modules and Http Handlers to easily implemented best practices and increase performance of asp.net webforms and asp.net mvc websites.,"talifun,http,module",3986,False,2.5.0
"XAct Software Solutions,Inc.",2012-04-11T09:28:33.52Z,An XActLib Assembly: a library for accessing the FS system directly (not IsolatedStorage). Higher security concern than just XAct.IO,XAct.IO.FS,False,2017-02-09T01:57:24.71+00:00,True,,"XAct,XActLib",90376,False,0.0.304
