Newtonsoft.Json: ['ServiceStack.Text', 'JWT', 'json2', 'RestSharp', 'ServiceStack']
jQuery: ['TinyMCE.jQuery', 'jquery.datatables', 'jQuery.Validation', 'jQuery.UI.Combined', 'jQuery.Ajax.Unobtrusive']
System.Net.Http: ['RestSharp', 'EasyHttp', 'Owin', 'Unity.WebAPI', 'ImageResizer']
System.Threading.Tasks: ['Selenium.Support', 'Microsoft.Web.Administration', 'MvvmLightLibs', 'MvvmLight', 'Catel.Extensions.Prism']
Microsoft.Web.Infrastructure: ['Microsoft.Web.Administration', 'Microsoft.SqlServer.Types', 'WindowsAzure.ServiceBus', 'microsoft-web-helpers', 'Microsoft.Web.Services3']
jQuery.Validation: ['jQuery.Validation.Unobtrusive', 'jQuery', 'Nancy.Validation.FluentValidation', 'Nancy.Validation.DataAnnotations', 'TinyMCE.jQuery']
Modernizr: ['d3', 'Selenium.Support', 'Westwind.Web', 'Twitter.Bootstrap.Less', 'BundleTransformer.Core']
Moq: ['Ninject.MockingKernel.Moq', 'Machine.Fakes.Moq', 'AutoFixture.AutoMoq', 'NSubstitute', 'FakeItEasy']
WindowsAzure.Storage: ['WindowsAzure.ServiceBus', 'EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'protobuf-net', 'RabbitMQ.Client', 'Microsoft.Web.Services3']
NUnit: ['NUnit.Runners', 'SpecFlow.NUnit', 'NUnit.Mocks', 'NUnitLite', 'FsUnit']
jQuery.UI.Combined: ['jQuery.UI.i18n', 'jQuery.UI.Core', 'jquery.mobile', 'jQuery', 'XAct.UI.Web']
Castle.Core: ['Castle.Windsor', 'Castle.LoggingFacility', 'Castle.Core-log4net', 'Ninject.Extensions.Interception.DynamicProxy', 'Castle.Core-NLog']
AutoMapper: ['protobuf-net', 'Knockout.Mapping', 'valueinjecter', 'DotSpatial.Serialization', 'Bootstrapper']
Antlr: ['AttributeRouting', 'NuGet.CommandLine', 'System.Linq.Dynamic', 'Jurassic', 'Sprache']
log4net: ['ServiceStack.Logging.Log4Net', 'Ninject.Extensions.Logging.Log4net', 'Castle.Core-log4net', 'Rebus.Log4Net', 'Topshelf.Log4Net']
Owin: ['System.Net.Http', 'CommonServiceLocator', 'ImageResizer', 'Common.Logging', 'RestSharp']
xunit: ['FsUnit.xUnit', 'AutoFixture.Xunit', 'xunit.extensions', 'xunit.runners', 'Xbehave']
knockoutjs: ['NServiceBus.Interfaces', 'Catel.MVVM', 'ServiceStack.Common', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net']
Autofac: ['Nancy.Bootstrappers.Autofac', 'NServiceBus.Autofac', 'MassTransit.Autofac', 'Autofac.Web', 'Autofac.Wcf']
CommonServiceLocator: ['N2CMS', 'System.Threading.Tasks', 'CommonServiceLocator.WindsorAdapter', 'Selenium.WebDriver', 'Selenium.Support']
WindowsAzure.ServiceBus: ['WindowsAzure.Storage', 'Microsoft.Web.Administration', 'Microsoft.SqlServer.Types', 'ExcelDataReader', 'Aspose.Email']
Unity: ['structuremap', 'Ninject', 'Essential.Diagnostics', 'Castle.WcfIntegrationFacility', 'SimpleInjector']
RestSharp: ['System.Net.Http', 'EasyHttp', 'Hammock', 'ImageResizer', 'Stripe.net']
FluentAssertions: ['NUnit', 'WriteableBitmapEx', 'NUnit.Runners', 'Xbehave', 'jQuery.Validation']
NuGet.CommandLine: ['NuGet.Core', 'NuGet.Build', 'NuGet.Server', 'chocolatey', 'OctoPack']
DotNetOpenAuth.Core: ['DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.Core.UI', 'DotNetOpenAuth.OpenId.Core.UI', 'DotNetOpenAuth.OpenId.Core', 'DotNetOpenAuth.OpenId.RelyingParty']
DotNetOpenAuth.OpenId.Core: ['DotNetOpenAuth.OpenId.RelyingParty', 'DotNetOpenAuth.OpenId.RelyingParty.UI', 'DotNetOpenAuth.OpenId.Provider.UI', 'DotNetOpenAuth.OpenId.Provider', 'DotNetOpenAuth.OpenId.Core.UI']
DotNetOpenAuth.OpenId.RelyingParty: ['DotNetOpenAuth.OpenId.Core', 'DotNetOpenAuth.OpenId.RelyingParty.UI', 'DotNetOpenAuth.OpenId.Provider.UI', 'DotNetOpenAuth.OpenId.Provider', 'DotNetOpenAuth.OpenId.Core.UI']
DotNetOpenAuth.OAuth.Core: ['DotNetOpenAuth.OAuth.Consumer', 'DotNetOpenAuth.Core', 'DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.Core.UI', 'DotNetOpenAuth.OpenId.Core.UI']
DotNetOpenAuth.OAuth.Consumer: ['DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.OAuth2.Core', 'DotNetOpenAuth.OAuth2.ResourceServer', 'DotNetOpenAuth.OpenId.Core']
DotNetOpenAuth.AspNet: ['DotNetOpenAuth.InfoCard.UI', 'System.Web.Providers', 'CSLA-ASP.NET', 'ASP.NET_MVVM_Excalibur', 'System.Web.Providers.Core']
HtmlAgilityPack: ['parse', 'd3', 'Aspose.Email', 'ClosedXML', 'ClientDependency']
Dapper: ['ServiceStack.OrmLite.Firebird', 'DapperExtensions', 'ServiceStack.OrmLite.SqlServer', 'ServiceStack.OrmLite.MySql', 'MySql.Data']
Ninject: ['Ninject.Extensions.Conventions', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Wcf', 'Ninject.Extensions.ContextPreservation', 'Ninject.Extensions.Factory']
Selenium.WebDriver: ['Selenium.WebDriverBackedSelenium', 'Selenium.Support', 'Selenium.RC', 'canopy', 'ARSoft.Tools.Net']
FluentValidation: ['Catel.Extensions.FluentValidation', 'Nancy.Validation.FluentValidation', 'FluentValidation.MVC3', 'ServiceStack.Mvc', 'Ninject.Web.Mvc.FluentValidation']
NSubstitute: ['Ninject.MockingKernel.NSubstitute', 'Machine.Fakes.NSubstitute', 'AutofacContrib.NSubstitute', 'NUnit.Mocks', 'NUnit']
CsvHelper: ['LinqToExcel', 'LINQtoCSV', 'CsvTools', 'LinqToExcel_x64', 'AutoMapper']
elmah.corelibrary: ['ServiceStack.Logging.Elmah', 'elmah', 'Elmah.MVC', 'elmah.sqlservercompact', 'Elmah.Contrib.Mvc']
Selenium.Support: ['Selenium.WebDriver', 'Selenium.WebDriverBackedSelenium', 'Selenium.RC', 'canopy', 'FluentAutomation.SeleniumWebDriver']
SharpZipLib: ['sharpcompress', 'Noemax.Compression', 'SharpGIS.GZipWebClient', 'DotNetZip', 'XAct.IO.Compression.ZipPackage']
Common.Logging: ['log4net', 'Ninject.Extensions.Logging', 'Ninject.Extensions.Logging.Log4net', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net']
ServiceStack.Text: ['ServiceStack', 'ServiceStack.Common', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'Nancy.Serialization.ServiceStack']
NuGet.Build: ['NuGet.Core', 'NuGet.CommandLine', 'NuGet.Server', 'chocolatey', 'microsoft-web-helpers']
