Newtonsoft.Json: ['ServiceStack.Text', 'json2', 'Microsoft.AspNet.WebApi.Client', 'JWT', 'RestSharp']
jQuery: ['jQuery.Color', 'jQuery.Ajax.Unobtrusive', 'jQuery.Easing', 'jQuery.Validation.Unobtrusive', 'Microsoft.jQuery.Unobtrusive.Ajax']
EntityFramework: ['EntityFramework.Extended', 'EntityFrameworkProfiler', 'WebBackgrounder.EntityFramework', 'Microsoft.Web.Infrastructure', 'ExcelDataReader']
Microsoft.AspNet.Razor: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.Administration', 'System.Web.Providers', 'System.Web.Providers.Core']
Microsoft.AspNet.Mvc: ['System.Web.Providers', 'System.Web.Providers.Core', 'Microsoft.AspNet.Razor', 'Microsoft.AspNet.Providers.LocalDb', 'Microsoft.AspNet.Providers.Core']
Microsoft.AspNet.WebPages: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.Mvc']
Microsoft.AspNet.WebApi.Client: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.Core', 'System.Web.Providers', 'System.Web.Providers.Core']
Microsoft.AspNet.WebApi.Core: ['Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi', 'System.Web.Providers', 'System.Web.Providers.Core']
System.Net.Http: ['AutoFixture.AutoFakeItEasy', 'Microsoft.Net.Http', 'System.Web.Http.Common', 'Microsoft.Web.Infrastructure', 'Hammock']
System.Threading.Tasks: ['OxyPlot.Silverlight', 'FluentValidation', 'SSH.NET', 'Microsoft.Tpl.Dataflow', 'MvvmLightLibs']
Microsoft.AspNet.WebApi.WebHost: ['Microsoft.AspNet.WebApi', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'System.Web.Providers']
Microsoft.AspNet.WebApi: ['Microsoft.AspNet.WebApi.WebHost', 'Microsoft.AspNet.WebApi.SelfHost', 'Microsoft.AspNet.WebApi.Core', 'Microsoft.AspNet.WebApi.Client', 'System.Web.Providers']
Microsoft.Web.Infrastructure: ['ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions', 'microsoft-web-helpers', 'Microsoft.Activities.Extensions', 'Microsoft.Net.Http']
WebGrease: ['ClientDependency', 'normalize.css', 'Cassette.Aspnet', 'ZeroClipboard', 'Cassette.Views']
Microsoft.Data.OData: ['Microsoft.Data.Services', 'Microsoft.Data.Services.Client', 'Microsoft.Data.Edm', 'System.Spatial', 'ODataNullPropagationVisitor']
Microsoft.Data.Edm: ['Microsoft.Data.Services', 'Microsoft.Data.Services.Client', 'System.Spatial', 'Microsoft.Data.OData', 'Microsoft.Web.Infrastructure']
System.Spatial: ['Microsoft.Data.Edm', 'Microsoft.Data.Services', 'Microsoft.Data.Services.Client', 'Microsoft.Data.OData', 'ODataNullPropagationVisitor']
Microsoft.Net.Http: ['System.Net.Http', 'Microsoft.Web.Infrastructure', 'AutoFixture.AutoFakeItEasy', 'System.Web.Http.Common', 'Microsoft.Web.Services2']
Microsoft.AspNet.Web.Optimization: ['System.Web.Providers.Core', 'AspNetRazor.Core', 'System.Web.Providers', 'Microsoft.AspNet.Providers.Core', 'Microsoft.AspNet.Providers']
jQuery.Validation: ['jQuery.Easing', 'jQuery.Color', 'jquery.cookie', 'chosen.jquery', 'jQuery.MaskedInput']
WindowsAzure.Storage: ['Microsoft.WindowsAzure.ConfigurationManager', 'Microsoft.WindowsAzure.Caching', 'WindowsAzure.ServiceBus', 'EnterpriseLibrary.WindowsAzure.TransientFaultHandling', 'Microsoft.Web.Infrastructure']
Modernizr: ['d3', 'Twitter.Bootstrap', 'CsQuery', 'bootstrap', 'AmplifyJS']
Moq: ['AutoMoq', 'Machine.Fakes.Moq', 'Ninject.MockingKernel.Moq', 'JustMock', 'AutoFixture.AutoMoq']
Microsoft.jQuery.Unobtrusive.Validation: ['jQuery.Validation.Unobtrusive', 'jQuery.Easing', 'jQuery.Color', 'Microsoft.jQuery.Unobtrusive.Ajax', 'jquery.cookie']
NUnit: ['NUnit.Runners', 'NUnit.Mocks', 'NUnitLite', 'SpecFlow.NUnit', 'SpecFlow.NUnit.Runners']
Castle.Core: ['Ninject.Extensions.Interception.DynamicProxy', 'RhinoMocks', 'Ninject.Extensions.Interception', 'Castle.Core-NLog', 'Castle.Core-log4net']
AutoMapper: ['XAct.ObjectMapping', 'Bootstrapper', 'campaignmonitor-api', 'Windows7APICodePack-Core', 'Windows7APICodePack-Shell']
Microsoft.Data.Services.Client: ['Microsoft.Data.Services', 'Microsoft.Data.Edm', 'Microsoft.Data.OData', 'System.Spatial', 'ODataNullPropagationVisitor']
bootstrap: ['Twitter.Bootstrap', 'Prettify', 'Google.GData.Client', 'Google.GData.Extensions', 'Google.GData.Contacts']
jQuery.UI.Combined: ['jQuery.UI.Core', 'jQuery.UI.i18n', 'jQuery.MaskedInput', 'jquery.mobile', 'MahApps.Metro']
Microsoft.WindowsAzure.ConfigurationManager: ['Microsoft.Experience.CloudFx', 'Microsoft.WindowsAzure.Caching', 'Microsoft.Web.Infrastructure', 'Microsoft.Activities.Extensions', 'ExcelDataReader']
Antlr: ['IronRuby', 'NuGet.CommandLine', 'Sprache', 'Pester', 'Jurassic']
log4net: ['Common.Logging.Log4Net', 'Common.Logging.Log4Net1211', 'Castle.Core-log4net', 'Topshelf.Log4Net', 'Rebus.Log4Net']
Owin: ['System.Net.Http', 'AutoFixture.AutoFakeItEasy', 'System.Web.Http.Common', 'eXpandWorldCreatorWin', 'eXpandWorldCreatorWeb']
xunit: ['xunit.extensions', 'xunit.runners', 'AutoFixture.Xunit', 'SpecFlow.xUnit', 'FsUnit.xUnit']
Microsoft.jQuery.Unobtrusive.Ajax: ['jQuery.Ajax.Unobtrusive', 'Microsoft.jQuery.Unobtrusive.Validation', 'jQuery', 'jQuery.Validation.Unobtrusive', 'SizSelCsZzz']
NLog: ['NLog.Extended', 'Common.Logging.NLog', 'Common.Logging.NLog20', 'Topshelf.NLog', 'Castle.Core-NLog']
Autofac: ['Autofac.Web', 'Autofac.Wcf', 'Autofac.Mef', 'Rebus.Autofac', 'Autofac.Mvc3']
knockoutjs: ['Knockout.Validation', 'MVVMHelpers.Metro', 'Catel.MVVM', 'ZeroClipboard', 'MvvmLightLibs']
WindowsAzure.ServiceBus: ['Rhino.ServiceBus.References', 'Rhino.ServiceBus', 'Microsoft.WindowsAzure.ConfigurationManager', 'Microsoft.WindowsAzure.Caching', 'Microsoft.Experience.CloudFx']
CommonServiceLocator: ['CommonServiceLocator.Silverlight', 'CommonServiceLocator.WindsorAdapter', 'LightInject', 'Spring.Core', 'TinyIoC']
RestSharp: ['Hammock', 'System.Web.Http.Common', 'AutoFixture.AutoFakeItEasy', 'EasyHttp', 'CIAPI']
NuGet.CommandLine: ['NuGet.Core', 'OctoPack', 'NuGet.Server', 'NuGet.Build', 'NuGet.Bootstrapper']
Unity: ['Unity.Interception', 'LightInject', 'MefContrib', 'Spring.Core', 'TinyIoC']
FluentAssertions: ['ExpectedObjects', 'TestStack.BDDfy', 'Xbehave', 'SpecsFor', 'Machine.Specifications-Signed']
Microsoft.AspNet.WebPages.WebData: ['Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.WebPages', 'Microsoft.AspNet.Razor']
Microsoft.AspNet.WebPages.Data: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.WebPages', 'Microsoft.AspNet.Razor']
HtmlAgilityPack: ['CsQuery', 'jQuery.Templates', 'd3', 'JasmineTest', 'Saxon-HE']
Dapper: ['NPoco', 'Insight.Database', 'FluentData', 'dbup', 'FluentMigrator.Tools']
DotNetOpenAuth.Core: ['DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.Core.UI', 'DotNetOpenAuth.OAuth2.Core', 'DotNetOpenAuth.OpenId.Core']
DotNetOpenAuth.OpenId.Core: ['DotNetOpenAuth.OpenId.Core.UI', 'DotNetOpenAuth.Core', 'DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.Core.UI']
DotNetOpenAuth.OpenId.RelyingParty: ['DotNetOpenAuth.OpenId.RelyingParty.UI', 'DotNetOpenAuth.OpenId.Provider', 'DotNetOpenAuth.OpenIdOAuth', 'DotNetOpenAuth.OpenId.Core', 'DotNetOpenAuth.OpenId.Provider.UI']
DotNetOpenAuth.OAuth.Core: ['DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.Core', 'DotNetOpenAuth.Core.UI', 'DotNetOpenAuth.OAuth2.Core', 'DotNetOpenAuth.OpenId.Core']
