authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
James Dibble,2014-08-28T18:16:06.52Z,1331,1331,Entity Framework drivers for the Ketchup eCommerce framework.,Ketchup.Persistence.EntityFramework,False,2014-08-28T11:16:06.52-07:00,True,False,,"eCommerce,Entity,Framework,Ketchup",2234,False,1.2.1.82
Ben Abelshausen,2014-08-28T18:27:51.297Z,43209,1331,OsmSharp is an open-source mapping project.,OsmSharp,True,1900-01-01T00:00:00+00:00,False,False,OsmSharp is an open-source mapping project available on Android and iOS using Xamarin and other platforms using Mono/.NET,"osm,openstreetmap,routing,rendering,mapcss",58678,False,4.3.0.834-beta
Xamarin,2014-08-29T15:18:54.533Z,43209,1330,"CocosSharp for Windows DX is a simple game engine typically used for 2D games, educational software and 2D visualizations.   This code allows games to be built with a write-once, run-anywhere approach.",CocosSharp.WindowsDX,False,1899-12-31T16:00:00-08:00,False,False,,"cocos2d,CocosSharp,xna,monogame,2D,games,visualization,engine,directx,desktop,windows",-1,False,1.0.1
Christof Senn,2014-08-28T21:37:20.88Z,811,1331,EF4 provider for N-Tier Entity Framework.,NTierEntityFramework.Server.EntityFramework4_0,True,2016-01-30T15:48:49.287-08:00,True,False,,"n-tier,entity,framework,EF,ntieref,C#,T4,code,generator,generation,data,access,layer,DAL,DDD,domain,driven,design,software,architecture",5309,False,1.5.0-beta005
Microsoft,2014-08-28T17:07:42.853Z,32,1331,이 패키지에는 ASP.NET Razor용 한국어 위성 어셈블리가 포함되어 있습니다.,Microsoft.AspNet.Razor.ko,False,2018-03-19T18:42:45.36+00:00,True,False,Microsoft.AspNet.Razor 패키지용 한국어 리소스,"Microsoft,AspNet,WebPages,AspNetWebPages,Razor",25897,True,3.2.2
Microsoft,2014-08-28T17:38:40.367Z,32,1331,此程序包包含适用于 ASP.NET CORS 的简体中文附属程序集。,Microsoft.AspNet.Cors.zh-Hans,False,2018-03-19T18:37:39.803+00:00,True,False,适用于 Microsoft.AspNet.Cors 程序包的简体中文资源,"Microsoft,AspNet,Cors,Cross,Origin",5368,True,5.2.2
"Vicente de Alencar,Victor Hugo M",2014-08-28T22:55:40.73Z,1331,1331,Mapper extensions for automapper,AutoMapperExtensions,False,2014-08-28T15:55:40.73-07:00,True,False,Mapper extensions for automapper,Automapper,1467,False,1.0.0
Microsoft,2014-08-28T17:32:29.753Z,32,1331,"Bu paket, ASP.NET Web Pages OAuth için Türkçe yardımcı derlemeleri içerir.",Microsoft.AspNet.WebPages.OAuth.tr,False,2018-03-19T19:13:49.44+00:00,True,False,Microsoft.AspNet.WebPages.OAuth paketi için Türkçe kaynaklar,"Microsoft,AspNet,WebPages,AspNetWebPages,OpenId,OAuth,authentication",4019,True,3.2.2
saguiitay,2014-08-28T22:08:48.28Z,1106,1331,"OneDriveRestAPIt is a C# client for the Microsoft OneDrive service through its RESTful API.
      Microsoft has released the Live SDK, a set of C# libraries for interacting with OneDrive, which is hard to extend and debug, as it relies on async HttpWebRequest/HttpWebResponse.",OneDriveRestAPI,False,2015-04-10T04:02:01.137-07:00,True,False,OneDrive RestAPI implementation based on HttpClient,"SkyDrive,OneDrive,HttpClient,REST",3442,False,1.2.0
Microsoft,2014-08-28T16:39:51.43Z,32,1331,Dieses Paket enthält die deutschen Satellitenassemblys für ASP.NET MVC.,Microsoft.AspNet.Mvc.de,False,2018-03-19T18:38:33.82+00:00,True,False,Deutsche Ressourcen für das Microsoft.AspNet.Mvc-Paket,"Microsoft,AspNet,Mvc,AspNetMvc",143809,True,5.2.2
City of Santa Monica,2014-08-28T18:17:52.53Z,134,1331,Library of helper classes and extension methods for working with Socrata Open Data portals.,CSM.SodaDotNet.Utilities,False,2017-12-07T00:59:50.55+00:00,True,False,,"EWS,OleDb,SODA",3341,False,0.1.0
Microsoft,2014-08-28T16:58:51.223Z,32,1331,Il pacchetto contiene gli assembly satellite di ASP.NET Web API Owin per l'italiano.,Microsoft.AspNet.WebApi.Owin.it,False,2018-03-19T18:55:01.387+00:00,True,False,Risorse del pacchetto Microsoft.AspNet.WebApi.Owin per l'italiano,"Microsoft,AspNet,WebApi,AspNetWebApi,OWIN",5475,True,5.2.2
